observableId	simulationConditionId	measurement	time	noiseParameters	replicateId
y_obs	condition1	0.1	0.0	sd1_y_obs	0
y_obs	condition1	0.1	0.0	sd1_y_obs	0
y_obs	condition1	0.1	0.0	sd1_y_obs	0
y_obs	condition1	0.1	0.0	sd1_y_obs	0
y_obs	condition1	0.1	0.0	sd1_y_obs	0
y_obs	condition1	0.1	0.0	sd1_y_obs	0
y_obs	condition1	38.0	0.167	sd1_y_obs	1
y_obs	condition1	8.3	0.167	sd1_y_obs	1
y_obs	condition1	28.3	0.167	sd1_y_obs	1
y_obs	condition1	12.8	0.167	sd1_y_obs	1
y_obs	condition1	31.5	0.167	sd1_y_obs	1
y_obs	condition1	27.3	0.167	sd1_y_obs	1
y_obs	condition1	58.9	0.5	sd1_y_obs	2
y_obs	condition1	22.6	0.5	sd1_y_obs	2
y_obs	condition1	10.2	0.5	sd1_y_obs	2
y_obs	condition1	22.5	0.5	sd1_y_obs	2
y_obs	condition1	25.8	0.5	sd1_y_obs	2
y_obs	condition1	33.3	0.5	sd1_y_obs	2
y_obs	condition1	23.9	1.0	sd1_y_obs	3
y_obs	condition1	18.8	1.0	sd1_y_obs	3
y_obs	condition1	16.4	1.0	sd1_y_obs	3
y_obs	condition1	11.5	1.0	sd1_y_obs	3
y_obs	condition1	98.3	1.0	sd1_y_obs	3
y_obs	condition1	49.6	1.0	sd1_y_obs	3
y_obs	condition1	5.3	1.5	sd1_y_obs	4
y_obs	condition1	6.3	1.5	sd1_y_obs	4
y_obs	condition1	33.5	1.5	sd1_y_obs	4
y_obs	condition1	5.0	1.5	sd1_y_obs	4
y_obs	condition1	13.4	1.5	sd1_y_obs	4
y_obs	condition1	3.3	1.5	sd1_y_obs	4
y_obs	condition1	2.1	2.0	sd1_y_obs	5
y_obs	condition1	20.0	2.0	sd1_y_obs	5
y_obs	condition1	12.5	2.0	sd1_y_obs	5
y_obs	condition1	1.0	2.0	sd1_y_obs	5
y_obs	condition1	4.0	2.0	sd1_y_obs	5
y_obs	condition1	1.9	2.0	sd1_y_obs	5
y_obs	condition1	1.6	2.5	sd1_y_obs	6
y_obs	condition1	2.1	2.5	sd1_y_obs	6
y_obs	condition1	0.1	2.5	sd1_y_obs	6
y_obs	condition1	0.1	2.5	sd1_y_obs	6
y_obs	condition1	2.0	2.5	sd1_y_obs	6
y_obs	condition1	0.1	2.5	sd1_y_obs	6
y_obs	condition1	1.3	3.0	sd1_y_obs	7
y_obs	condition1	0.1	3.0	sd1_y_obs	7
y_obs	condition1	0.1	3.0	sd1_y_obs	7
y_obs	condition1	0.1	3.0	sd1_y_obs	7
y_obs	condition1	0.1	3.0	sd1_y_obs	7
y_obs	condition1	0.1	3.0	sd1_y_obs	7
y_obs	condition1	1.2	4.0	sd1_y_obs	8
y_obs	condition1	0.1	4.0	sd1_y_obs	8
y_obs	condition1	0.1	4.0	sd1_y_obs	8
y_obs	condition1	0.1	4.0	sd1_y_obs	8
y_obs	condition1	0.1	4.0	sd1_y_obs	8
y_obs	condition1	0.1	4.0	sd1_y_obs	8
y_obs	condition1	0.1	6.0	sd1_y_obs	9
y_obs	condition1	0.1	6.0	sd1_y_obs	9
y_obs	condition1	0.1	6.0	sd1_y_obs	9
y_obs	condition1	0.1	6.0	sd1_y_obs	9
y_obs	condition1	0.1	6.0	sd1_y_obs	9
y_obs	condition1	0.1	6.0	sd1_y_obs	9
